"","Taxa","sp","GEO3","ISO3","lon","lat","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"2701","SEEDGWAS4787:MRG:4:250105008","Zea mays","Meso-America","MEX",-102.35,22.45,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,734.632873535156,648.897827148438,696.263000488281,666.146301269531,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.366369992494583,NA
"2702","SEEDGWAS4788:MRG:4:250105009","Zea mays","Meso-America","MEX",-99.631435,21.141034,9,0,30,70,0,272.378723144531,14.3043403625488,51.0248336791992,119.972106933594,11.9521713256836,75.1252517700195,1171.14489746094,971.898681640625,1100.52392578125,996.910888671875,1938,66,NA,NA,NA,NA,1939,2130,NA,NA,500,400,-0.124909996986389,NA
"2703","SEEDGWAS4789:MRG:4:250105010","Zea mays","Meso-America","MEX",-97.25,19.76666667,2,0,0,40,60,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2704","SEEDGWAS479:MRG:4:250059271","Zea mays","Meso-America","MEX",-89.249339,20.883144,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,993.535522460938,877.446105957031,935.181823730469,893.717163085938,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"2705","SEEDGWAS4790:MRG:4:250105011","Zea mays","Meso-America","MEX",-97.58333333,19.86666667,2,0,20,30,50,NA,NA,NA,NA,NA,NA,1120.65075683594,1008.33093261719,1121.15502929688,1035.94653320312,575,138,NA,NA,NA,NA,5501,7282,NA,NA,900,800,NA,NA
"2706","SEEDGWAS4791:MRG:4:250105014","Zea mays","Meso-America","MEX",-97.381224,19.812923,2,0,20,10,70,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2707","SEEDGWAS4792:MRG:4:250105020","Zea mays","Meso-America","MEX",-103.0666667,20.61666667,9,0,0,60,40,NA,NA,NA,NA,NA,NA,843.878601074219,618.913757324219,739.495300292969,657.724792480469,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,NA,NA
"2708","SEEDGWAS4793:MRG:4:250105021","Zea mays","Meso-America","MEX",-103.6666667,24.88333333,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,764.270202636719,600.334777832031,711.92041015625,624.160583496094,2213,211,2900,800,2689,236,1807,2081,718,129,500,400,-0.273319989442825,NA
"2709","SEEDGWAS4794:MRG:4:250105022","Zea mays","Meso-America","MEX",-102.4166667,22.13333333,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,734.632873535156,648.897827148438,696.263000488281,666.146301269531,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.358310014009476,NA
"2710","SEEDGWAS4795:MRG:4:250105023","Zea mays","Meso-America","MEX",-101.89888,21.410256,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,NA,NA
"2711","SEEDGWAS4796:MRG:4:250105024","Zea mays","Meso-America","MEX",-103.0666667,20.61666667,9,0,0,60,40,NA,NA,NA,NA,NA,NA,843.878601074219,618.913757324219,739.495300292969,657.724792480469,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,NA,NA
"2712","SEEDGWAS4797:MRG:4:250105025","Zea mays","Meso-America","MEX",-103.497012,19.716303,9,0,0,60,40,NA,NA,NA,NA,NA,NA,816.943359375,799.2734375,891.15234375,816.751220703125,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,-0.182219997048378,NA
"2713","SEEDGWAS4798:MRG:4:250105027","Zea mays","Meso-America","MEX",-102.701138,21.858917,8,0,0,100,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,578.338623046875,508.015014648438,547.450866699219,528.252746582031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208790004253387,NA
"2714","SEEDGWAS4799:MRG:4:250105029","Zea mays","Meso-America","MEX",-91.811051,17.284759,8,0,20,80,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,878.997863769531,740.064208984375,814.559814453125,761.170104980469,383,80,NA,NA,592,126,4478,5328,554,NA,800,500,-0.378450006246567,NA
"2715","SEEDGWAS48:MRG:4:250054478","Zea mays","Meso-America","MEX",-92.659404,15.332888,8,0,0,80,20,297.140411376953,16.1219482421875,36.1785087585449,140.300979614258,18.2280216217041,86.3109664916992,526.993774414062,487.489501953125,521.321533203125,517.682983398438,898,205,NA,NA,1215,520,3763,4006,767,NA,700,600,NA,NA
"2716","SEEDGWAS480:MRG:4:250059272","Zea mays","Meso-America","MEX",-88.05,19.58333333,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,947.126770019531,843.870422363281,889.915649414062,859.645629882812,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"2717","SEEDGWAS4800:MRG:4:250105031","Zea mays","Meso-America","MEX",-98.42,19.72,2,0,30,20,50,NA,NA,NA,NA,NA,NA,796.3095703125,747.630676269531,838.058532714844,777.691040039062,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,NA,NA
"2718","SEEDGWAS4801:MRG:4:250105032","Zea mays","Meso-America","MEX",-98.53333333,19.66666667,2,0,30,20,50,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,794.479919433594,650.809814453125,737.137084960938,683.155090332031,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,NA,NA
